MS-DRG ,MDC,TYPE,MS-DRG Title,Weights,Geometric mean LOS,Arithmetic mean LOS
023, 01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,5.3762,7.7,10.6
024, 01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,4.0114,4.1,5.5
025, 01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.2413,7.1,9.2
026, 01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2.9723,4.4,5.8
027, 01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.3761,2.3,3.0
028, 01,SURG,SPINAL PROCEDURES W MCC,5.5439,9.4,11.9
029, 01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.1882,5.0,6.5
030, 01,SURG,SPINAL PROCEDURES W/O CC/MCC,1.9008,2.6,3.4
031, 01,SURG,VENTRICULAR SHUNT PROCEDURES W MCC,4.0706,7.6,10.5
032, 01,SURG,VENTRICULAR SHUNT PROCEDURES W CC,2.0555,3.2,4.7
033, 01,SURG,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,1.5992,1.9,2.4
034, 01,SURG,CAROTID ARTERY STENT PROCEDURE W MCC,3.8503,5.1,7.2
035, 01,SURG,CAROTID ARTERY STENT PROCEDURE W CC,2.3365,2.2,3.3
036, 01,SURG,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,1.7487,1.3,1.5
037, 01,SURG,EXTRACRANIAL PROCEDURES W MCC,3.0795,5.3,7.7
038, 01,SURG,EXTRACRANIAL PROCEDURES W CC,1.5762,2.2,3.2
039, 01,SURG,EXTRACRANIAL PROCEDURES W/O CC/MCC,1.0818,1.3,1.5
040, 01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,3.7117,7.9,10.5
041, 01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,2.1218,4.6,5.8
042, 01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,1.8984,2.6,3.3
052, 01,MED,SPINAL DISORDERS & INJURIES W CC/MCC,1.5848,4.3,5.9
053, 01,MED,SPINAL DISORDERS & INJURIES W/O CC/MCC,0.8598,2.8,3.5
054, 01,MED,NERVOUS SYSTEM NEOPLASMS W MCC,1.3314,3.9,5.3
055, 01,MED,NERVOUS SYSTEM NEOPLASMS W/O MCC,1.0271,3.0,4.0
056, 01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,1.8514,5.3,7.4
057, 01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1.1198,3.7,5.2
058, 01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,1.6856,5.1,6.7
059, 01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,1.0504,3.7,4.6
060, 01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,0.8144,3.0,3.6
061, 01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,2.7367,5.4,7.0
062, 01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,1.8866,3.8,4.4
063, 01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,1.5764,2.8,3.1
064, 01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,1.7518,4.5,6.1
065, 01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,1.0431,3.3,4.0
066, 01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,0.7464,2.3,2.7
067, 01,MED,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,1.3374,3.7,4.7
068, 01,MED,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,0.8658,2.3,2.9
069, 01,MED,TRANSIENT ISCHEMIA,0.7373,2.1,2.6
070, 01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,1.6284,4.7,6.4
071, 01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,0.9810,3.5,4.6
072, 01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,0.7354,2.4,3.0
073, 01,MED,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,1.3196,3.7,5.0
074, 01,MED,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,0.9190,3.0,3.8
075, 01,MED,VIRAL MENINGITIS W CC/MCC,1.6970,5.2,6.6
076, 01,MED,VIRAL MENINGITIS W/O CC/MCC,0.9596,3.1,3.7
077, 01,MED,HYPERTENSIVE ENCEPHALOPATHY W MCC,1.5757,4.4,5.8
078, 01,MED,HYPERTENSIVE ENCEPHALOPATHY W CC,0.9471,3.0,3.7
079, 01,MED,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,0.7014,2.3,2.7
080, 01,MED,NONTRAUMATIC STUPOR & COMA W MCC,1.2566,3.9,5.4
081, 01,MED,NONTRAUMATIC STUPOR & COMA W/O MCC,0.7655,2.8,3.5
082, 01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",2.0079,3.4,5.7
083, 01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",1.2817,3.3,4.3
084, 01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",0.9262,2.2,2.8
085, 01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",2.0033,4.7,6.5
086, 01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",1.1414,3.2,4.0
087, 01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",0.8070,2.2,2.7
088, 01,MED,CONCUSSION W MCC,1.4841,4.0,5.2
089, 01,MED,CONCUSSION W CC,1.0161,2.8,3.4
090, 01,MED,CONCUSSION W/O CC/MCC,0.7637,1.9,2.3
091, 01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,1.5764,4.2,5.8
092, 01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W CC,0.9201,3.1,3.9
093, 01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,0.7064,2.3,2.8
094, 01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,3.4820,8.2,10.7
095, 01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,2.3801,5.7,7.1
096, 01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,2.1418,4.6,5.4
097, 01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,3.1039,8.1,10.6
098, 01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,1.8140,5.6,7.1
099, 01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,1.2765,3.9,4.8
100, 01,MED,SEIZURES W MCC,1.5935,4.2,5.6
101, 01,MED,SEIZURES W/O MCC,0.7990,2.7,3.3
102, 01,MED,HEADACHES W MCC,1.0650,3.1,4.1
103, 01,MED,HEADACHES W/O MCC,0.7405,2.3,2.9
113, 02,SURG,ORBITAL PROCEDURES W CC/MCC,2.0972,4.3,5.9
114, 02,SURG,ORBITAL PROCEDURES W/O CC/MCC,1.1953,2.4,3.1
115, 02,SURG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,1.3771,3.7,4.8
116, 02,SURG,INTRAOCULAR PROCEDURES W CC/MCC,1.5767,3.5,5.2
117, 02,SURG,INTRAOCULAR PROCEDURES W/O CC/MCC,0.8521,2.0,2.7
121, 02,MED,ACUTE MAJOR EYE INFECTIONS W CC/MCC,1.0574,3.9,5.3
122, 02,MED,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,0.6445,2.8,3.4
123, 02,MED,NEUROLOGICAL EYE DISORDERS,0.7237,2.1,2.6
124, 02,MED,OTHER DISORDERS OF THE EYE W MCC,1.2262,3.7,5.2
125, 02,MED,OTHER DISORDERS OF THE EYE W/O MCC,0.7572,2.6,3.2
129, 03,SURG,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,2.3305,3.9,5.3
130, 03,SURG,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,1.4598,2.3,2.8
131, 03,SURG,CRANIAL/FACIAL PROCEDURES W CC/MCC,2.5741,4.4,6.1
132, 03,SURG,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,1.4423,2.1,2.5
133, 03,SURG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",1.9147,3.9,5.7
134, 03,SURG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",1.0515,2.0,2.4
135, 03,SURG,SINUS & MASTOID PROCEDURES W CC/MCC,2.0142,4.5,6.2
136, 03,SURG,SINUS & MASTOID PROCEDURES W/O CC/MCC,1.1081,2.0,2.6
137, 03,SURG,MOUTH PROCEDURES W CC/MCC,1.4181,3.8,5.0
138, 03,SURG,MOUTH PROCEDURES W/O CC/MCC,0.8457,2.2,2.7
139, 03,SURG,SALIVARY GLAND PROCEDURES,1.0271,1.7,2.4
146, 03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",2.0563,5.8,8.4
147, 03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",1.3129,4.0,5.5
148, 03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",0.9122,2.5,3.5
149, 03,MED,DYSEQUILIBRIUM,0.6800,2.1,2.5
150, 03,MED,EPISTAXIS W MCC,1.3394,3.7,5.0
151, 03,MED,EPISTAXIS W/O MCC,0.7091,2.3,2.9
152, 03,MED,OTITIS MEDIA & URI W MCC,1.0129,3.6,4.5
153, 03,MED,OTITIS MEDIA & URI W/O MCC,0.7002,2.7,3.2
154, 03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",1.4237,4.0,5.3
155, 03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",0.8906,3.1,3.8
156, 03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",0.6655,2.3,2.8
157, 03,MED,DENTAL & ORAL DISEASES W MCC,1.5407,4.4,6.0
158, 03,MED,DENTAL & ORAL DISEASES W CC,0.8471,2.9,3.7
159, 03,MED,DENTAL & ORAL DISEASES W/O CC/MCC,0.6201,2.1,2.5
163, 04,SURG,MAJOR CHEST PROCEDURES W MCC,5.0194,10.4,12.9
164, 04,SURG,MAJOR CHEST PROCEDURES W CC,2.5817,5.1,6.2
165, 04,SURG,MAJOR CHEST PROCEDURES W/O CC/MCC,1.7898,3.0,3.6
166, 04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,3.5562,8.3,10.6
167, 04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,1.9550,4.9,6.2
168, 04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,1.3359,2.9,3.8
175, 04,MED,PULMONARY EMBOLISM W MCC,1.4718,4.7,5.7
176, 04,MED,PULMONARY EMBOLISM W/O MCC,0.9129,3.1,3.8
177, 04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,1.8672,5.9,7.4
178, 04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,1.3247,4.7,5.7
179, 04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,0.9325,3.5,4.2
180, 04,MED,RESPIRATORY NEOPLASMS W MCC,1.6976,5.1,6.7
181, 04,MED,RESPIRATORY NEOPLASMS W CC,1.1637,3.7,4.7
182, 04,MED,RESPIRATORY NEOPLASMS W/O CC/MCC,0.8167,2.5,3.1
183, 04,MED,MAJOR CHEST TRAUMA W MCC,1.4913,4.7,5.8
184, 04,MED,MAJOR CHEST TRAUMA W CC,0.9861,3.3,4.0
185, 04,MED,MAJOR CHEST TRAUMA W/O CC/MCC,0.7257,2.5,2.9
186, 04,MED,PLEURAL EFFUSION W MCC,1.5519,4.7,6.0
187, 04,MED,PLEURAL EFFUSION W CC,1.0560,3.5,4.4
188, 04,MED,PLEURAL EFFUSION W/O CC/MCC,0.7683,2.6,3.1
189, 04,MED,PULMONARY EDEMA & RESPIRATORY FAILURE,1.2135,3.8,4.9
190, 04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,1.1481,3.9,4.8
191, 04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,0.9184,3.3,4.0
192, 04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,0.7234,2.7,3.2
193, 04,MED,SIMPLE PNEUMONIA & PLEURISY W MCC,1.3860,4.6,5.7
194, 04,MED,SIMPLE PNEUMONIA & PLEURISY W CC,0.9469,3.6,4.3
195, 04,MED,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,0.7028,2.8,3.3
196, 04,MED,INTERSTITIAL LUNG DISEASE W MCC,1.6268,5.1,6.5
197, 04,MED,INTERSTITIAL LUNG DISEASE W CC,1.0585,3.5,4.4
198, 04,MED,INTERSTITIAL LUNG DISEASE W/O CC/MCC,0.8097,2.8,3.4
199, 04,MED,PNEUMOTHORAX W MCC,1.8097,5.6,7.2
200, 04,MED,PNEUMOTHORAX W CC,1.0511,3.5,4.3
201, 04,MED,PNEUMOTHORAX W/O CC/MCC,0.7402,2.6,3.2
202, 04,MED,BRONCHITIS & ASTHMA W CC/MCC,0.8910,3.1,3.8
203, 04,MED,BRONCHITIS & ASTHMA W/O CC/MCC,0.6712,2.5,3.0
204, 04,MED,RESPIRATORY SIGNS & SYMPTOMS,0.7420,2.2,2.8
205, 04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,1.4650,4.1,5.4
206, 04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,0.8320,2.6,3.2
207, 04,MED,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,5.3364,12.1,14.1
208, 04,MED,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,2.3101,4.9,6.8
215, 05,SURG,OTHER HEART ASSIST SYSTEM IMPLANT,16.1076,12.8,18.7
216, 05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,9.6440,12.1,15.1
217, 05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,6.3198,8.1,9.4
218, 05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,5.6679,5.4,6.5
219, 05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,7.7112,9.5,11.5
220, 05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5.1554,6.4,7.0
221, 05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,4.6105,4.7,5.2
222, 05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,8.4086,10.0,12.2
223, 05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,6.5119,5.9,7.2
224, 05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,7.5853,7.9,9.9
225, 05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,5.7209,4.1,4.8
226, 05,SURG,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,6.8945,6.9,9.0
227, 05,SURG,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,5.4560,3.4,4.5
228, 05,SURG,OTHER CARDIOTHORACIC PROCEDURES W MCC,7.0869,8.6,11.4
229, 05,SURG,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,4.7459,4.3,5.5
231, 05,SURG,CORONARY BYPASS W PTCA W MCC,8.0662,10.6,12.3
232, 05,SURG,CORONARY BYPASS W PTCA W/O MCC,5.8874,8.1,8.9
233, 05,SURG,CORONARY BYPASS W CARDIAC CATH W MCC,7.4876,11.7,13.1
234, 05,SURG,CORONARY BYPASS W CARDIAC CATH W/O MCC,4.9523,8.0,8.6
235, 05,SURG,CORONARY BYPASS W/O CARDIAC CATH W MCC,5.7644,9.0,10.3
236, 05,SURG,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,3.8520,6.1,6.5
239, 05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,4.8159,10.5,13.4
240, 05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,2.7120,7.0,8.5
241, 05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,1.4481,4.4,5.2
242, 05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,3.7005,5.7,7.3
243, 05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2.6338,3.5,4.4
244, 05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,2.1393,2.5,2.9
245, 05,SURG,AICD GENERATOR PROCEDURES,4.7746,4.1,5.6
246, 05,SURG,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,3.2525,4.2,5.5
247, 05,SURG,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,2.1226,2.3,2.7
248, 05,SURG,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,3.0445,4.8,6.3
249, 05,SURG,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,1.9358,2.5,3.1
250, 05,SURG,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,2.6299,4.1,5.5
251, 05,SURG,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1.6868,2.4,2.9
252, 05,SURG,OTHER VASCULAR PROCEDURES W MCC,3.3126,5.6,7.9
253, 05,SURG,OTHER VASCULAR PROCEDURES W CC,2.6441,4.3,5.7
254, 05,SURG,OTHER VASCULAR PROCEDURES W/O CC/MCC,1.7764,2.4,3.0
255, 05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,2.7042,6.8,9.0
256, 05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,1.6872,5.3,6.4
257, 05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC,1.1295,3.3,4.1
258, 05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,3.0351,5.3,6.9
259, 05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,1.9905,2.9,3.5
260, 05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,3.7634,7.6,10.2
261, 05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,1.9584,3.5,4.5
262, 05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,1.6016,2.4,2.9
263, 05,SURG,VEIN LIGATION & STRIPPING,2.0521,4.0,6.0
264, 05,SURG,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,2.9537,5.9,8.5
265, 05,SURG,AICD LEAD PROCEDURES,3.2111,3.3,4.6
266, 05,SURG,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,8.3933,6.3,8.5
267, 05,SURG,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,6.4720,3.7,4.4
268, 05,SURG,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,6.3047,6.6,9.5
269, 05,SURG,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,4.0274,1.9,2.6
270, 05,SURG,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,4.7589,6.5,9.3
271, 05,SURG,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,3.1272,4.4,5.8
272, 05,SURG,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,2.3120,2.3,3.0
273, 05,SURG,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,3.6045,6.0,8.0
274, 05,SURG,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,2.5303,2.7,3.5
280, 05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1.6748,4.5,5.7
281, 05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",0.9968,2.8,3.4
282, 05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",0.7463,2.0,2.3
283, 05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",1.6925,3.0,4.7
284, 05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC",0.7544,1.7,2.4
285, 05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC",0.5190,1.3,1.6
286, 05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2.2027,5.2,7.0
287, 05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",1.1693,2.6,3.3
288, 05,MED,ACUTE & SUBACUTE ENDOCARDITIS W MCC,2.7773,7.6,9.7
289, 05,MED,ACUTE & SUBACUTE ENDOCARDITIS W CC,1.5523,5.2,6.4
290, 05,MED,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC,1.2605,4.5,5.5
291, 05,MED,HEART FAILURE & SHOCK W MCC,1.4796,4.6,5.8
292, 05,MED,HEART FAILURE & SHOCK W CC,0.9574,3.5,4.3
293, 05,MED,HEART FAILURE & SHOCK W/O CC/MCC,0.6618,2.6,3.0
294, 05,MED,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,1.1154,3.8,4.7
295, 05,MED,DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC,0.6746,3.3,3.7
296, 05,MED,"CARDIAC ARREST, UNEXPLAINED W MCC",1.3715,1.9,3.0
297, 05,MED,"CARDIAC ARREST, UNEXPLAINED W CC",0.5925,1.3,1.6
298, 05,MED,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC",0.4395,1.1,1.2
299, 05,MED,PERIPHERAL VASCULAR DISORDERS W MCC,1.4161,4.1,5.4
300, 05,MED,PERIPHERAL VASCULAR DISORDERS W CC,1.0077,3.5,4.3
301, 05,MED,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,0.7237,2.6,3.1
302, 05,MED,ATHEROSCLEROSIS W MCC,1.0408,2.8,3.8
303, 05,MED,ATHEROSCLEROSIS W/O MCC,0.6428,1.9,2.4
304, 05,MED,HYPERTENSION W MCC,1.0128,3.2,4.1
305, 05,MED,HYPERTENSION W/O MCC,0.6750,2.2,2.6
306, 05,MED,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,1.4384,4.0,5.5
307, 05,MED,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,0.8143,2.6,3.3
308, 05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,1.2046,3.8,4.8
309, 05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,0.7757,2.6,3.2
310, 05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,0.5627,2.0,2.3
311, 05,MED,ANGINA PECTORIS,0.6310,1.9,2.3
312, 05,MED,SYNCOPE & COLLAPSE,0.7729,2.4,3.0
313, 05,MED,CHEST PAIN,0.6707,1.8,2.2
314, 05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,1.9611,5.0,6.7
315, 05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,0.9708,3.0,3.8
316, 05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,0.6765,2.1,2.5
326, 06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",5.3670,10.9,14.1
327, 06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",2.5899,5.5,7.2
328, 06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",1.5357,2.4,3.1
329, 06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,4.9612,11.3,14.0
330, 06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,2.5405,6.8,7.9
331, 06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.6623,4.0,4.5
